cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
182,2,Sulfoxide / Ester,low-MW fragment,Sulfoxide; Ester; Ether,[#6]:[#6](-[#7]):[#6]; [#7]-[#6](:[#6]):[#6]; [#6]-[#6]-[#16](=[#8])-[#6](:[#7]):[#7-],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,166.33333333333334
183,7,Tertiary amine / Primary amine,low-MW fragment,Tertiary amine; Primary amine; Amide; Hydroxyl (aliphatic); Ether,[#6]-[#7](-[#6]-[#6]-[#6])-[#6]; [#6]-[#6]-[#6]-[#7](-[#6])-[#6]; [#7]-[#6](=[#8])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,120.9
184,7,Amide / Secondary amine,low-MW fragment,Amide; Secondary amine; Ester; Ether; Primary amine,[#6]:[#7](-[#6]):[#6]; [#6]-[#7](:[#6]):[#6]; [#6]-[#7](:[#6]):[#6](:[#7](:[#6])-[#6])=[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,76.71666666666667
185,3,Tertiary amine / Ether,low-MW fragment,Tertiary amine; Ether; Thiol,[#6]-[#6](=[#6])-[#6]; [#6]=[#6](-[#6])-[#6]; [#6]-[#15](=[#8])(-[#8-])-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,203.01666666666668
186,3,Ketone / Ether,low-MW fragment,Ketone; Ether; Tertiary amine,[#6]-[#6](=[#8])-[#6]; [#6]:[#6](-[#8-]):[#6]; [#8]-[#6](:[#6]):[#6]:[#6](:[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,157.85
187,3,Amide / Hydroxyl (aliphatic),low-MW fragment,Amide; Hydroxyl (aliphatic); Nitro group; Secondary amine,[#6]:[#6](-[#7+]):[#6]; [#6]:[#6](=[#8]):[#7H]; [#7]-[#6](=[#8])-[#6@H](-[#6]-[#8])-[#7]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,162.63333333333333
188,2,Amide / Carboxylic acid,low-MW fragment,Amide; Carboxylic acid; Ether; Ketone; Tertiary amine,[#6]:[#6](:[#6])-[#8]-[#6]-[#6]; [#6]:[#6](=[#8]):[#6](:[#6]:[#6]):[#6](:[#6]):[#7]; [#8]-[#6](=[#8])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,218.66666666666666
189,9,Carboxylic acid / Ester,low-MW fragment,Carboxylic acid; Ester; Ether; Primary amine; Ketone,[#6]-[#6](:[#6]:[#6]:[#6]):[#6]; [#6]-[#6](:[#6]):[#6]:[#6]:[#6]; [#6]:[#6]:[#6](-[#6](=[#8])-[#8]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,26.25
190,13,Hydroxyl (aliphatic) / Secondary amine,low-MW fragment,Hydroxyl (aliphatic); Secondary amine; Primary amine; Ether; Halogen (F),[#6]-[#7]-[#6]; [#6]-[#7]-[#6]-[#6](-[#8])-[#6]; [#7]-[#6]-[#6]-[#7]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,43.96666666666667
191,2,Ketone / Tertiary amine,low-MW fragment,Ketone; Tertiary amine; Sulfonamide,[#6]-[#6](=[#8])-[#6]; [#6](-[#6@H])(=[#8])-[#6]; [#6]-[#7](-[#6])-[#6]-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,222.41666666666666
